Título,Nome da Rua,Número,Bairro,Cidade,Preço,Área,Quartos,Banheiros,Garagens
Apartamento,Avenida Brasil,,2900  Centro,Balneário Camboriú,R$ 1.390.000 Cond.: R$ 350,90,2  Quartos,2  Banheiros,1  Garagem
Ponto comercial,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 1.200.000,,,,
Apartamento 196,Rua 4100,,97  Centro,Balneário Camboriú,R$ 1.199.000 Cond.: R$ 1.627,186,4  Quartos,4  Banheiros,2  Garagens
Cobertura,Rua 3144  Centro,,,Balneário Camboriú,R$ 3.800.000 Cond.: R$ 1.500,242,4  Quartos,5  Banheiros,3  Garagens
Apartamento,Rua 1001,,380  Centro,Balneário Camboriú,R$ 780.000,65,2  Quartos,1  Banheiro,1  Garagem
Ponto comercial,Rua 1822,,235  Centro,Balneário Camboriú,R$ 169.000,,,,
Apartamento em,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 2.300.000 Cond.: R$ 1.800,130,3  Quartos,4  Banheiros,3  Garagens
Casa,Rua 3050,,45  Centro,Balneário Camboriú,R$ 3.500.000,,,,
Excelente oportunidade!,Rua 1500,,582  Centro,Balneário Camboriú,R$ 1.385.000 Cond.: R$ 600,138,3  Quartos,3  Banheiros,2  Garagens
Apartamento,Rua 3700,,425  Centro,Balneário Camboriú,R$ 5.900.000 Cond.: R$ 1.800,182,3  Quartos,4  Banheiros,3  Garagens
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 2.820.000.000 Cond.: R$ 1.400,161,2  Quartos,2  Banheiros,2  Garagens
Apartamento,Rua 1542,,16  Centro,Balneário Camboriú,R$ 2.500.000 Cond.: R$ 0,136,4  Quartos,4  Banheiros,4  Garagens
Casa,Hercelina Vieira,,151  Praia do Estaleiro,Balneário Camboriú,R$ 20.000.000,1.385,4  Quartos,5  Banheiros,4  Garagens
Venda |,Rua João Francisco dos Santos,,100  Pioneiros,Balneário Camboriú,R$ 3.400.000 Cond.: R$ 1.500,160,4  Quartos,5  Banheiros,3  Garagens
Lindo apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 3.000.000 Cond.: R$ 2.000,149,3  Quartos,4  Banheiros,3  Garagens
Apartamento,Rua 2028,,125 Esquina Com A Rua 2000  Centro,Balneário Camboriú,R$ 2.300.000,,,,
Apartamento,Rua 1950,,645  Centro,Balneário Camboriú,R$ 1.501.500,,,,
Millennium palace,Avenida Atlântica,,2670  Centro,Balneário Camboriú,R$ 26.600.000 Cond.: R$ 1,317,4  Quartos,7  Banheiros,4  Garagens
Apartamento,Atlantica,,3925  Frente do Mar,Balneário Camboriú,R$ 7.500.000 Cond.: R$ 1.700,360,3  Quartos,4  Banheiros,2  Garagens
Casa,Endereço não disponível  Barra,,,Balneário Camboriú,R$ 1.400.000,,,,
Terreno noruega,Rua Noruega,,1044  Nações,Balneário Camboriú,R$ 750.000,,,,
Apartamento a,Endereço não disponível  Barra,,,Balneário Camboriú,R$ 690.000,111,2  Quartos,2  Banheiros,1  Garagem
Sobrado triplex,Endereço não disponível  Nações,,,Balneário Camboriú,R$ 1.990.000,380,2  Quartos,4  Banheiros,3  Garagens
Condomínio ilhas,Rua 3100,,855  Centro,Balneário Camboriú,R$ 530.000,54,2  Quartos,1  Banheiro,1  Garagem
Vista fantástica,Rua 3450  Centro,,,Balneário Camboriú,R$ 11.000.000 Cond.: R$ 0,341,6  Quartos,8  Banheiros,6  Garagens
Sala comercial,Endereço não disponível  Nações,,,Balneário Camboriú,R$ 2.000.000,,,,
Apartamento,Rua 3704,,40  Centro,Balneário Camboriú,R$ 699.000 Cond.: R$ 400,96,2  Quartos,1  Banheiro,1  Garagem
Apartamento c/,Rua 1542  Centro,,,Balneário Camboriú,R$ 2.200.000,136,4  Quartos,5  Banheiros,4  Garagens
Vendo apto,Endereço não disponível  Nova Esperança,,,Balneário Camboriú,R$ 295.000 Cond.: R$ 250,54,2  Quartos,1  Banheiro,1  Garagem
Apartamento,Rua 3600  Centro,,,Balneário Camboriú,R$ 950.000 Cond.: R$ 673,85,2  Quartos,2  Banheiros,1  Garagem
Magnifica casa,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 8.900.000,753,5  Quartos,6  Banheiros,5  Garagens
Casa beira,Avenida Rodesindo Pavan,,0000  Itapema,Balneário Camboriú,R$ 7.800.000,500,6  Quartos,8  Banheiros,5  Garagens
Barbada apartamento,Rua 201  Centro,,,Balneário Camboriú,R$ 920.000 Cond.: R$ 500,156,4  Quartos,2  Banheiros,1  Garagem
Belíssimo apartamento,Rua 1901  Centro,,,Balneário Camboriú,R$ 2.500.000 Cond.: R$ 900,143,3  Quartos,3  Banheiros,2  Garagens
Casa,Avenida Hermógenes de Assis Feijó,,621  Barra,Balneário Camboriú,R$ 5.950.000,540,4  Quartos,5  Banheiros,4  Garagens
Apartamento,Endereço não disponível  Pioneiros,,,Balneário Camboriú,R$ 3.551.500,146,4  Quartos,5  Banheiros,3  Garagens
Excelente casa,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 2.900.000,207,3  Quartos,4  Banheiros,4  Garagens
Apartamento,Avenida Brasil,,169  Centro,Balneário Camboriú,R$ 2.250.000,122,3  Quartos,3  Banheiros,2  Garagens
Casa,Avenida Hermógenes de Assis Feijó,,1100  São Judas Tadeu,Balneário Camboriú,R$ 1.650.000,142,3  Quartos,1  Banheiro,2  Garagens
Apartamento no,Rua 901,,260  Centro,Balneário Camboriú,R$ 770.000,91,2  Quartos,1  Banheiro,1  Garagem
Casa,Rua 620,,738  Centro,Balneário Camboriú,R$ 2.200.000,,,,
Apartamento,Rua 901,,150  Centro,Balneário Camboriú,R$ 1.750.000,--,2  Quartos,3  Banheiros,1  Garagem
Apartamento,Endereço não disponível  Pioneiros,,,Balneário Camboriú,R$ 820.000,,,,
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 14.015.953,313,4  Quartos,6  Banheiros,4  Garagens
Apartamento-1 quadra,Rua 1401,,150  Centro,Balneário Camboriú,R$ 1.090.000 Cond.: R$ 900,86,2  Quartos,2  Banheiros,1  Garagem
Yachthouse residence,Avenida Normando Tedesco,,1000  Centro,Balneário Camboriú,R$ 8.990.000,265,4  Quartos,6  Banheiros,3  Garagens
Cobertura a,Rua 901  Centro,,,Balneário Camboriú,R$ 11.000.000 Cond.: R$ 2.000,,,,
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 4.990.000,,,,
Apartamento,Avenida Atlântica  Centro,,,Balneário Camboriú,R$ 13.500.000,251,4  Quartos,6  Banheiros,4  Garagens
Amplo sobrado,Rua Mário Quintana,,150  Praia dos Amores,Balneário Camboriú,R$ 2.250.000,200,3  Quartos,3  Banheiros,1  Garagem
'viva o,Rua 3770  Centro,,,Balneário Camboriú,R$ 3.400.000 Cond.: R$ 1.280,139,3  Quartos,4  Banheiros,3  Garagens
Casa alto,Rua Ivo José Rebello,,1  Santa Regina,Balneário Camboriú,R$ 4.250.000,265,4  Quartos,6  Banheiros,3  Garagens
Apartamento no,Avenida Atlântica,,740  Centro,Balneário Camboriú,R$ 2.000.000 Cond.: R$ 808,138,2  Quartos,4  Banheiros,1  Garagem
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 1.450.000,100,3  Quartos,2  Banheiros,1  Garagem
Casa/ sobrado,Rua Mário Quintana,,150  Praia dos Amores,Balneário Camboriú,R$ 2.250.000,400,3  Quartos,4  Banheiros,1  Garagem
Confortável apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 1.200.000,,,,
Hamptons village,Rua 3700,,415  Centro,Balneário Camboriú,R$ 3.700.000,180,3  Quartos,4  Banheiros,3  Garagens
Apartamento,Rua 2000,,125  Centro,Balneário Camboriú,R$ 5.659.615,240,4  Quartos,1  Banheiro,3  Garagens
Apartamento 04,Rua Romeu Pereira,,23  Pioneiros,Balneário Camboriú,R$ 6.500.000,,,,
Apartamento,Avenida Atlântica,,660  Centro,Balneário Camboriú,R$ 9.000.000 Cond.: R$ 0,--,4  Quartos,5  Banheiros,3  Garagens
Ap 1,Endereço não disponível  Pioneiros,,,Balneário Camboriú,R$ 650.000,76,1  Quarto,1  Banheiro,1  Garagem
Ap 2,Endereço não disponível  Nova Esperança,,,Balneário Camboriú,R$ 350.000 Cond.: R$ 270,70,2  Quartos,1  Banheiro,1  Garagem
Super central,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 2.600.000,158,3  Quartos,3  Banheiros,2  Garagens
Apartamento duplex,Rua Alvin Bauer,,159  Centro,Balneário Camboriú,R$ 3.781.250,222,5  Quartos,6  Banheiros,4  Garagens
Apartamento,Rua Caboclinho,,--  Ariribá,Balneário Camboriú,R$ 689.806 Cond.: R$ 350,65,2  Quartos,2  Banheiros,1  Garagem
Apartamento para,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 5.283.773,,,,
Apartamento hyde,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 10.655.193,232,5  Quartos,5  Banheiros,5  Garagens
Locação,Endereço não disponível  Praia do Estaleiro,,,Balneário Camboriú,R$ 8.000.000 Cond.: R$ 1.450,,,,
Apartamento 2,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 1.550.000 Cond.: R$ 600,115,2  Quartos,2  Banheiros,2  Garagens
Apartamento,Rua 3000,,190  Centro,Balneário Camboriú,R$ 2.300.000,,,,
Apartamento,Rua Antônio Athanázio Corrêa,,65  Barra,Balneário Camboriú,R$ 625.000,100,2  Quartos,2  Banheiros,1  Garagem
Apartamento diferenciado,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 1.900.000 Cond.: R$ 520,160,3  Quartos,1  Banheiro,1  Garagem
Locação virada,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 1.800.000,102,3  Quartos,3  Banheiros,1  Garagem
Sala comercial,Avenida do Estado Dalmo Vieira  Pioneiros,,,Balneário Camboriú,R$ 700.000 Cond.: R$ 415,,,,
Sala /,R 3110 Es 3140  Centro,,,Balneário Camboriú,R$ 570.000,122,1  Sala,2  Banheiros,1  Garagem
Frente mar,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 14.895.000,465,4  Quartos,5  Banheiros,5  Garagens
Apartamento,Rua Peru,,155  Nações,Balneário Camboriú,R$ 785.940,61,2  Quartos,2  Banheiros,1  Garagem
Apartamento,Rua Julieta Lins,,349  Pioneiros,Balneário Camboriú,R$ 1.500.000 Cond.: R$ 450,99,3  Quartos,2  Banheiros,1  Garagem
Bonne vie,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 2.180.000,195,3  Quartos,4  Banheiros,2  Garagens
Apartamento no,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 2.222.000,257,3  Quartos,4  Banheiros,2  Garagens
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 690.000,69,2  Quartos,1  Banheiro,2  Garagens
Prédio,Arthur Max Doose,,183  Centro,Balneário Camboriú,R$ Confira,,,,
Casa na,Endereço não disponível  Praia dos Amores,,,Balneário Camboriú,R$ 4.200.000,348,3  Quartos,4  Banheiros,4  Garagens
Edifício barcelona,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 2.355.000 Cond.: R$ 620,97,3  Quartos,2  Banheiros,3  Garagens
Sobrado,Endereço não disponível  Ariribá,,,Balneário Camboriú,R$ 950.000,185,3  Quartos,3  Banheiros,4  Garagens
Apto 1,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 480.000,36,1  Quarto,1  Banheiro,1  Garagem
Apartamento mobiliado,Rua 3618,,116  Centro,Balneário Camboriú,R$ 2.800.000 Cond.: R$ 90,105,3  Quartos,4  Banheiros,2  Garagens
Apartamento,Rua 1950,,606  Centro,Balneário Camboriú,R$ 1.600.000 Cond.: R$ 500,97,2  Quartos,2  Banheiros,2  Garagens
Apartamento mobiliado,Rua 1141  Centro,,,Balneário Camboriú,R$ 3.950.000,132,4  Quartos,3  Banheiros,3  Garagens
Apartamento para,Rua 3610,,14  Centro,Balneário Camboriú,R$ 2.900.000,131,3  Quartos,4  Banheiros,2  Garagens
Frente mar,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 15.245.000,465,4  Quartos,5  Banheiros,5  Garagens
Apartamento,Rua Bibiano dos Santos,,345  Pioneiros,Balneário Camboriú,R$ 2.350.000,137,4  Quartos,5  Banheiros,3  Garagens
Apartamento 3,Rua 3310  Centro,,,Balneário Camboriú,R$ 2.200.000,130,3  Quartos,4  Banheiros,2  Garagens
Prédio,1901.0,,262  Centro,Balneário Camboriú,R$ Confira,,,,
Apartamento mobiliado,Rua 2050  Centro,,,Balneário Camboriú,R$ 1.190.000 Cond.: R$ 800,89,2  Quartos,2  Banheiros,1  Garagem
Apartamento para,Endereço não disponível  Nações,,,Balneário Camboriú,R$ 795.000,73,2  Quartos,2  Banheiros,1  Garagem
Apartamento,Avenida Atlântica  Frente do Mar,,,Balneário Camboriú,R$ 14.860.000,,,,
Sobrado c/,Endereço não disponível  Barra,,,Balneário Camboriú,R$ 2.950.000 Cond.: R$ 630,220,3  Quartos,4  Banheiros,2  Garagens
Apartamento,Rua Julieta Lins,,32  Pioneiros,Balneário Camboriú,R$ 10.000.000 Cond.: R$ 1.500,165,3  Quartos,4  Banheiros,3  Garagens
Cobertura,Rua 1061,,145  Centro,Balneário Camboriú,R$ 9.686.192,362,4  Quartos,3  Banheiros,4  Garagens
Apartamento no,Rua 600,,693  Centro,Balneário Camboriú,R$ 450.000,50,1  Quarto,1  Banheiro,1  Garagem
Apartamento 2ª,Rua Miguel Matte,,--  Centro,Balneário Camboriú,R$ 3.700.000,133,3  Quartos,3  Banheiros,2  Garagens
Ap mobiliado,Endereço não disponível  Nova Esperança,,,Balneário Camboriú,R$ 610.000,67,2  Quartos,2  Banheiros,1  Garagem
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 485.000 Cond.: R$ 359,52,2  Quartos,1  Banheiro,1  Garagem
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 12.190.000,183,4  Quartos,5  Banheiros,3  Garagens
Apartamento frente,Avenida Atlântica,,1148  Centro,Balneário Camboriú,R$ 1.890.000 Cond.: R$ 700,150,3  Quartos,3  Banheiros,1  Garagem
O primeiro,Avenida Santa Catarina,,01  Estados,Balneário Camboriú,R$ 1.660.646,83,2  Quartos,3  Banheiros,1  Garagem
Casa,Avenida das Gaivotas,,300  Ariribá,Balneário Camboriú,R$ 1.805.370,182,3  Quartos,4  Banheiros,2  Garagens
Apartamento,1.131,,1  Centro,Balneário Camboriú,R$ 2.600.000 Cond.: R$ 1.265,130,3  Quartos,4  Banheiros,2  Garagens
Apartamento a,Endereço não disponível  Barra Sul,,,Balneário Camboriú,R$ 5.200.000,280,4  Quartos,4  Banheiros,4  Garagens
Apartamento,Rua 3300  Centro,,,Balneário Camboriú,R$ 2.490.000 Cond.: R$ 900,121,3  Quartos,4  Banheiros,3  Garagens
Apartamento centro,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 4.650.000,189,4  Quartos,4  Banheiros,2  Garagens
Sobrado no,Endereço não disponível  Municípios,,,Balneário Camboriú,R$ 1.499.000,245,3  Quartos,4  Banheiros,2  Garagens
La belle,Rua 2000,,121  Centro,Balneário Camboriú,R$ 5.323.000,170,4  Quartos,5  Banheiros,3  Garagens
Residencial alaia,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 5.913.872,183,4  Quartos,5  Banheiros,3  Garagens
Alto padrão,Rua Julieta Lins  Pioneiros,,,Balneário Camboriú,R$ 8.450.000 Cond.: R$ 1.150,165,3  Quartos,4  Banheiros,4  Garagens
Apartamento,Avenida do Estado Dalmo Vieira  Centro,,,Balneário Camboriú,R$ 2.300.000,129,4  Quartos,3  Banheiros,2  Garagens
Residencial cidade,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 610.000 Cond.: R$ 260,65,1  Quarto,1  Banheiro,1  Garagem
Apto av,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 950.000 Cond.: R$ 650,116,3  Quartos,3  Banheiros,1  Garagem
Cobertura,Avenida Hermógenes de Assis Feijó  Barra,,,Balneário Camboriú,R$ 1.890.000,144,4  Quartos,1  Banheiro,2  Garagens
Apartamento,Rua 2650  Centro,,,Balneário Camboriú,R$ 3.000.000 Cond.: R$ 1.300,151,4  Quartos,5  Banheiros,2  Garagens
Sobrado,Rua México  Nações,,,Balneário Camboriú,R$ 1.390.000,231,3  Quartos,5  Banheiros,2  Garagens
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 2.700.000 Cond.: R$ 1.100,138,3  Quartos,4  Banheiros,3  Garagens
Linda cobertura,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 5.850.000,308,5  Quartos,6  Banheiros,3  Garagens
Cobertura duplex,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 1.275.000 Cond.: R$ 700,160,4  Quartos,4  Banheiros,1  Garagem
Essence -,Endereço não disponível  Pioneiros,,,Balneário Camboriú,R$ 2.100.000 Cond.: R$ 2.300,157,3  Quartos,4  Banheiros,2  Garagens
Ocean tower,Rua José Manir Lucca,,40  Pioneiros,Balneário Camboriú,R$ 2.500.000,132,4  Quartos,4  Banheiros,2  Garagens
Alto padrão,Endereço não disponível  Barra Sul,,,Balneário Camboriú,R$ 3.500.000,216,4  Quartos,5  Banheiros,4  Garagens
Apartamento no,Rua 3700,,371  Centro,Balneário Camboriú,R$ 3.700.000,121,3  Quartos,4  Banheiros,2  Garagens
Apartamento mobiliado,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 1.275.000 Cond.: R$ 1.000,89,2  Quartos,1  Banheiro,2  Garagens
Apartamento,Rua Isidoro Caetano  Pioneiros,,,Balneário Camboriú,R$ 2.750.000 Cond.: R$ 1.100,128,3  Quartos,4  Banheiros,3  Garagens
Apartamento para,Rua 2300  Centro,,,Balneário Camboriú,R$ 3.493.000,126,3  Quartos,1  Banheiro,3  Garagens
Apartamento pronto,Endereço não disponível  Nações,,,Balneário Camboriú,R$ 680.000,70,2  Quartos,2  Banheiros,1  Garagem
Le parc,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 3.980.000 Cond.: R$ 1.955,295,3  Quartos,5  Banheiros,3  Garagens
Linda cobertura,Rua 1101  Centro,,,Balneário Camboriú,R$ 4.600.000 Cond.: R$ 1.200,240,4  Quartos,5  Banheiros,3  Garagens
Apartamento no,Rua 2450,,410  Centro,Balneário Camboriú,R$ 780.000 Cond.: R$ 560,132,2  Quartos,2  Banheiros,1  Garagem
Casa em,Endereço não disponível  Praia das Taquaras,,,Balneário Camboriú,R$ 4.500.000,1.127,5  Quartos,7  Banheiros,3  Garagens
Apartamento,Rua 1910,,91  Centro,Balneário Camboriú,R$ 5.668.017,,,,
Apartamento,Rua 3300,,100  Centro,Balneário Camboriú,R$ 2.790.000 Cond.: R$ 1.670,129,3  Quartos,4  Banheiros,3  Garagens
"Apartamento mobiliado,",Rua 1950,,520  Centro,Balneário Camboriú,R$ 1.650.000 Cond.: R$ 860,120,3  Quartos,3  Banheiros,2  Garagens
Sala térrea,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 800.000,,,,
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 3.000.000,131,3  Quartos,4  Banheiros,3  Garagens
Apartamento,Rua 2050  Centro,,,Balneário Camboriú,R$ 2.984.000,,,,
Haras rio,Endereço não disponível  Ariribá,,,Balneário Camboriú,R$ 6.900.000 Cond.: R$ 663,600,4  Quartos,2  Banheiros,4  Garagens
Lançamento! ap,Endereço não disponível  Pioneiros,,,Balneário Camboriú,R$ 2.030.000,110,3  Quartos,4  Banheiros,2  Garagens
Apartamento,Avenida Atlântica,,4438  Centro,Balneário Camboriú,R$ 8.770.000,230,5  Quartos,1  Banheiro,4  Garagens
Apartamento garden,Rua 1101,,203  Centro,Balneário Camboriú,R$ 1.500.000,115,3  Quartos,2  Banheiros,1  Garagem
Cobertura,Avenida Atlântica,,2440  Centro,Balneário Camboriú,R$ 22.077.000,425,4  Quartos,6  Banheiros,6  Garagens
Cobertura triplex,Avenida Atlântica,,5200  Centro,Balneário Camboriú,R$ 20.500.000,410,7  Quartos,8  Banheiros,4  Garagens
Torre,Rua 2400  Centro,,,Balneário Camboriú,R$ 2.850.000,123,3  Quartos,4  Banheiros,3  Garagens
Apartamento alto,Endereço não disponível  Pioneiros,,,Balneário Camboriú,R$ 1.690.000,278,4  Quartos,5  Banheiros,3  Garagens
Alto padrão,Rua 3618  Centro,,,Balneário Camboriú,R$ 3.650.000,137,3  Quartos,4  Banheiros,4  Garagens
Apartamento,Rua 961,,241  Centro,Balneário Camboriú,R$ 2.530.000,128,3  Quartos,1  Banheiro,2  Garagens
Apartamento,1.440,,100  Centro,Balneário Camboriú,R$ 2.150.000,,,,
Apartamento frente,Avenida Atlântica,,5918  Centro,Balneário Camboriú,R$ 6.000.000 Cond.: R$ 2.500,168,3  Quartos,4  Banheiros,3  Garagens
Cobertura duplex,Endereço não disponível  Barra Sul,,,Balneário Camboriú,R$ 6.500.000 Cond.: R$ 1.800,400,5  Quartos,5  Banheiros,5  Garagens
Apartamento,Rua 3750,,181  Centro,Balneário Camboriú,R$ 3.883.210,185,4  Quartos,5  Banheiros,3  Garagens
Apartamento,Rua 1061,,245  Centro,Balneário Camboriú,R$ 1.690.000 Cond.: R$ 545,119,2  Quartos,2  Banheiros,1  Garagem
Lançamento alto,Avenida do Estado Dalmo Vieira,,2461  Centro,Balneário Camboriú,R$ 1.990.000,157,3  Quartos,4  Banheiros,3  Garagens
"Imóvel fantástico,",Avenida Brasil,,577  Centro,Balneário Camboriú,R$ 2.850.000,158,4  Quartos,6  Banheiros,3  Garagens
Alto padrão,Avenida das Arapongas  Ariribá,,,Balneário Camboriú,R$ 6.700.000 Cond.: R$ 2.000,,,,
Apartamento,Rua 1131,,500  Centro,Balneário Camboriú,R$ 2.475.000,272,3  Quartos,4  Banheiros,3  Garagens
Apartamento,Rua Israel,,195  Nações,Balneário Camboriú,R$ 784.961,65,2  Quartos,2  Banheiros,1  Garagem
Pré-lançamento no,Endereço não disponível  Centro,,,Balneário Camboriú,R$ Confira,558,4  Quartos,5  Banheiros,4  Garagens
Apartamento,Avenida Atlântica,,5720  Centro,Balneário Camboriú,R$ 9.990.000,237,4  Quartos,4  Banheiros,4  Garagens
Apartamento diferenciado,Avenida Brasil,,Centro!  Centro,Balneário Camboriú,R$ 3.690.000 Cond.: R$ 1.834,254,3  Quartos,4  Banheiros,2  Garagens
Cobertura,Rua 1950,,216  Centro,Balneário Camboriú,R$ 5.336.611,502,4  Quartos,1  Banheiro,4  Garagens
Apartamento para,Rua 3310  Centro,,,Balneário Camboriú,R$ 2.490.000,129,3  Quartos,4  Banheiros,2  Garagens
Excelente apartamento,Rua 1201,,493  Centro,Balneário Camboriú,R$ 3.585.890 Cond.: R$ 2.000,175,3  Quartos,4  Banheiros,3  Garagens
Lançamento .,Rua 2000  Centro,,,Balneário Camboriú,R$ 1.990.000,136,3  Quartos,4  Banheiros,2  Garagens
Terreno haras,Endereço não disponível  Ariribá,,,Balneário Camboriú,R$ 1.800.000,,,,
Oportunidade! ap,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 640.000,40,1  Quarto,1  Banheiro,1  Garagem
Casa nova,Endereço não disponível  Praia do Estaleiro,,,Balneário Camboriú,R$ 20.000.000,458,5  Quartos,1  Banheiro,4  Garagens
Lançamento 4,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 3.349.000,221,4  Quartos,5  Banheiros,4  Garagens
Mirante das,Rua 3900  Centro,,,Balneário Camboriú,R$ 8.900.000 Cond.: R$ 1.117,310,4  Quartos,4  Banheiros,8  Garagens
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 5.850.000 Cond.: R$ 1.700,257,5  Quartos,6  Banheiros,3  Garagens
"Sala, 41",Rua 3100  Centro,,,Balneário Camboriú,R$ 490.000,,,,
Apartamento,Avenida Santa Catarina,,1  Estados,Balneário Camboriú,R$ 2.279.778,83,2  Quartos,1  Banheiro,2  Garagens
Ap 4,Endereço não disponível  Pioneiros,,,Balneário Camboriú,R$ 2.165.000,137,4  Quartos,5  Banheiros,3  Garagens
Frente mar,Avenida Atlântica  Centro,,,Balneário Camboriú,R$ 10.700.000 Cond.: R$ 1.157,237,4  Quartos,4  Banheiros,4  Garagens
Duas áreas,Rua Daniel Anastácio Fraga,,272  São Judas Tadeu,Balneário Camboriú,R$ 2.500.000,,,,
Apartamento novo,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 3.100.000,230,3  Quartos,4  Banheiros,2  Garagens
Apartamento 2,Endereço não disponível  Pioneiros,,,Balneário Camboriú,R$ 900.000,87,2  Quartos,2  Banheiros,2  Garagens
Lançamento bairro,Rua Jordânia  Nações,,,Balneário Camboriú,R$ 759.000,61,2  Quartos,2  Banheiros,1  Garagem
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 720.000,82,2  Quartos,1  Banheiro,1  Garagem
Sala comercial,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 3.650.000,,,,
Empreendimento alto,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 2.800.000,243,3  Quartos,4  Banheiros,3  Garagens
Apartamento,Rua 916,,300  Centro,Balneário Camboriú,R$ 580.000 Cond.: R$ 250,65,2  Quartos,2  Banheiros,1  Garagem
Quadra mar,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 5.350.000,290,4  Quartos,5  Banheiros,3  Garagens
Apartamento duplex,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 4.890.000 Cond.: R$ 1.422,446,4  Quartos,5  Banheiros,4  Garagens
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 2.301.850,189,3  Quartos,1  Banheiro,2  Garagens
Apartamento,Endereço não disponível  Nações,,,Balneário Camboriú,R$ 858.468,65,2  Quartos,2  Banheiros,1  Garagem
Cobertura duplex,Rua 1520,,251  Centro,Balneário Camboriú,R$ 7.680.000 Cond.: R$ 1.775,267,4  Quartos,5  Banheiros,3  Garagens
Argos residence,Rua 3300,,450  Centro,Balneário Camboriú,R$ 3.500.000 Cond.: R$ 1.500,228,4  Quartos,4  Banheiros,4  Garagens
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 2.700.000,,,,
Casa,Rua 620,,738  Centro,Balneário Camboriú,R$ 2.200.000,137,3  Quartos,4  Banheiros,2  Garagens
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 2.580.000,282,4  Quartos,5  Banheiros,3  Garagens
Cobertura a,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 6.000.000 Cond.: R$ 1.600,459,4  Quartos,5  Banheiros,4  Garagens
Prédio,Rua 3250,,110  Centro,Balneário Camboriú,R$ Confira,,,,
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 980.000 Cond.: R$ 350,95,2  Quartos,2  Banheiros,1  Garagem
Apartamento alto,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 4.000.000,190,3  Quartos,4  Banheiros,2  Garagens
Hyde atlântica,Endereço não disponível  Frente do Mar,,,Balneário Camboriú,R$ 10.470.268,232,4  Quartos,5  Banheiros,4  Garagens
Frente mar,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 4.900.000,219,3  Quartos,4  Banheiros,2  Garagens
Terreno a,Endereço não disponível  Ariribá,,,Balneário Camboriú,R$ 3.100.000 Cond.: R$ 900,,,,
Apartamento 03,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 1.880.000,132,3  Quartos,4  Banheiros,2  Garagens
